date,peggedARS,peggedAUD,peggedCAD,peggedCHF,peggedCNY,peggedEUR,peggedGBP,peggedJPY,peggedMXN,peggedREAL,peggedRUB,peggedSGD,peggedTRY,peggedUAH,peggedUSD,peggedVAR
2018-02-01,,,,,,,,,,,,,,,60183528.0,
2018-02-02,,,,,,,,,,,,,,,60183528.0,
2018-02-03,,,,,,,,,,,,,,,60183528.0,
2018-02-04,,,,,,,,,,,,,,,60183528.0,
2018-02-05,,,,,,,,,,,,,,,60183528.0,
2018-02-06,,,,,,,,,,,,,,,60183528.0,
2018-02-07,,,,,,,,,,,,,,,60183528.0,
2018-02-08,,,,,,,,,,,,,,,60183528.0,
2018-02-09,,,,,,,,,,,,,,,60183528.0,
2018-02-10,,,,,,,,,,,,,,,60183528.0,
2018-02-11,,,,,,,,,,,,,,,60183528.0,
2018-02-12,,,,,,,,,,,,,,,60183528.0,
2018-02-13,,,,,,,,,,,,,,,60183528.0,
2018-02-14,,,,,,,,,,,,,,,60183528.0,
2018-02-15,,,,,,,,,,,,,,,60183528.0,
2018-02-16,,,,,,,,,,,,,,,60183528.0,
2018-02-17,,,,,,,,,,,,,,,60183528.0,
2018-02-18,,,,,,,,,,,,,,,60183528.0,
2018-02-19,,,,,,,,,,,,,,,60183528.0,
2018-02-20,,,,,,,,,,,,,,,60183528.0,
2018-02-21,,,,,,,,,,,,,,,60183528.0,
2018-02-22,,,,,,,,,,,,,,,60183528.0,
2018-02-23,,,,,,,,,,,,,,,60183528.0,
2018-02-24,,,,,,,,,,,,,,,60183528.0,
2018-02-25,,,,,,,,,,,,,,,60183528.0,
2018-02-26,,,,,,,,,,,,,,,60183528.0,
2018-02-27,,,,,,,,,,,,,,,60183528.0,
2018-02-28,,,,,,,,,,,,,,,60183528.0,
2018-03-01,,,,,,,,,,,,,,,60183528.0,
2018-03-02,,,,,,,,,,,,,,,60183528.0,
2018-03-03,,,,,,,,,,,,,,,60183528.0,
2018-03-04,,,,,,,,,,,,,,,60183528.0,
2018-03-05,,,,,,,,,,,,,,,60183528.0,
2018-03-06,,,,,,,,,,,,,,,60183528.0,
2018-03-07,,,,,,,,,,,,,,,60183528.0,
2018-03-08,,,,,,,,,,,,,,,60183528.0,
2018-03-09,,,,,,,,,,,,,,,60183528.0,
2018-03-10,,,,,,,,,,,,,,,60183528.0,
2018-03-11,,,,,,,,,,,,,,,60183528.0,
2018-03-12,,,,,,,,,,,,,,,60183528.0,
2018-03-13,,,,,,,,,,,,,,,60183528.0,
2018-03-14,,,,,,,,,,,,,,,60183528.0,
2018-03-15,,,,,,,,,,,,,,,60183528.0,
2018-03-16,,,,,,,,,,,,,,,60183528.0,
2018-03-17,,,,,,,,,,,,,,,60183528.0,
2018-03-18,,,,,,,,,,,,,,,60183528.0,
2018-03-19,,,,,,,,,,,,,,,60183528.0,
2018-03-20,,,,,,,,,,,,,,,60183528.0,
2018-03-21,,,,,,,,,,,,,,,60183528.0,
2018-03-22,,,,,,,,,,,,,,,60183528.0,
2018-03-23,,,,,,,,,,,,,,,60183528.0,
2018-03-24,,,,,,,,,,,,,,,60183528.0,
2018-03-25,,,,,,,,,,,,,,,60183528.0,
2018-03-26,,,,,,,,,,,,,,,60183528.0,
2018-03-27,,,,,,,,,,,,,,,60183528.0,
2018-03-28,,,,,,,,,,,,,,,60183528.0,
2018-03-29,,,,,,,,,,,,,,,60183528.0,
2018-03-30,,,,,,,,,,,,,,,60183528.0,
2018-03-31,,,,,,,,,,,,,,,60183528.0,
2018-04-01,,,,,,,,,,,,,,,60183528.0,
2018-04-02,,,,,,,,,,,,,,,60183528.0,
2018-04-03,,,,,,,,,,,,,,,60183528.0,
2018-04-04,,,,,,,,,,,,,,,60183528.0,
2018-04-05,,,,,,,,,,,,,,,60183528.0,
2018-04-06,,,,,,,,,,,,,,,60183528.0,
2018-04-07,,,,,,,,,,,,,,,60183528.0,
2018-04-08,,,,,,,,,,,,,,,60183528.0,
2018-04-09,,,,,,,,,,,,,,,60183528.0,
2018-04-10,,,,,,,,,,,,,,,60183528.0,
2018-04-11,,,,,,,,,,,,,,,60183528.0,
2018-04-12,,,,,,,,,,,,,,,60183528.0,
2018-04-13,,,,,,,,,,,,,,,60183528.0,
2018-04-14,,,,,,,,,,,,,,,60183528.0,
2018-04-15,,,,,,,,,,,,,,,60183528.0,
2018-04-16,,,,,,,,,,,,,,,60183528.0,
2018-04-17,,,,,,,,,,,,,,,60183528.0,
2018-04-18,,,,,,,,,,,,,,,60183528.0,
2018-04-19,,,,,,,,,,,,,,,60183528.0,
2018-04-20,,,,,,,,,,,,,,,60183528.0,
2018-04-21,,,,,,,,,,,,,,,60183528.0,
2018-04-22,,,,,,,,,,,,,,,60183528.0,
2018-04-23,,,,,,,,,,,,,,,60183528.0,
2018-04-24,,,,,,,,,,,,,,,60183528.0,
2018-04-25,,,,,,,,,,,,,,,60183528.0,
2018-04-26,,,,,,,,,,,,,,,60183528.0,
2018-04-27,,,,,,,,,,,,,,,60183528.0,
2018-04-28,,,,,,,,,,,,,,,60183528.0,
2018-04-29,,,,,,,,,,,,,,,60183528.0,
2018-04-30,,,,,,,,,,,,,,,60183528.0,
2018-05-01,,,,,,,,,,,,,,,60183528.0,
2018-05-02,,,,,,,,,,,,,,,60183528.0,
2018-05-03,,,,,,,,,,,,,,,60183528.0,
2018-05-04,,,,,,,,,,,,,,,60183528.0,
2018-05-05,,,,,,,,,,,,,,,60183528.0,
2018-05-06,,,,,,,,,,,,,,,60183528.0,
2018-05-07,,,,,,,,,,,,,,,60183528.0,
2018-05-08,,,,,,,,,,,,,,,60183528.0,
2018-05-09,,,,,,,,,,,,,,,60183528.0,
2018-05-10,,,,,,,,,,,,,,,60183528.0,
2018-05-11,,,,,,,,,,,,,,,60183528.0,
2018-05-12,,,,,,,,,,,,,,,60183528.0,
2018-05-13,,,,,,,,,,,,,,,60183528.0,
2018-05-14,,,,,,,,,,,,,,,60183528.0,
2018-05-15,,,,,,,,,,,,,,,60183528.0,
2018-05-16,,,,,,,,,,,,,,,60183528.0,
2018-05-17,,,,,,,,,,,,,,,60183528.0,
2018-05-18,,,,,,,,,,,,,,,60183528.0,
2018-05-19,,,,,,,,,,,,,,,60183528.0,
2018-05-20,,,,,,,,,,,,,,,60183528.0,
2018-05-21,,,,,,,,,,,,,,,60183528.0,
2018-05-22,,,,,,,,,,,,,,,60183528.0,
2018-05-23,,,,,,,,,,,,,,,60183528.0,
2018-05-24,,,,,,,,,,,,,,,60183528.0,
2018-05-25,,,,,,,,,,,,,,,60183528.0,
2018-05-26,,,,,,,,,,,,,,,60183528.0,
2018-05-27,,,,,,,,,,,,,,,60183528.0,
2018-05-28,,,,,,,,,,,,,,,60183528.0,
2018-05-29,,,,,,,,,,,,,,,60183528.0,
2018-05-30,,,,,,,,,,,,,,,60183528.0,
2018-05-31,,,,,,,,,,,,,,,60183528.0,
2018-06-01,,,,,,,,,,,,,,,60183528.0,
2018-06-02,,,,,,,,,,,,,,,60183528.0,
2018-06-03,,,,,,,,,,,,,,,60183528.0,
2018-06-04,,,,,,,,,,,,,,,60183528.0,
2018-06-05,,,,,,,,,,,,,,,60183528.0,
2018-06-06,,,,,,,,,,,,,,,60183528.0,
2018-06-07,,,,,,,,,,,,,,,60183528.0,
2018-06-08,,,,,,,,,,,,,,,60183528.0,
2018-06-09,,,,,,,,,,,,,,,60183528.0,
2018-06-10,,,,,,,,,,,,,,,60183060.0,
2018-06-11,,,,,,,,,,,,,,,60183060.0,
2018-06-12,,,,,,,,,,,,,,,60183060.0,
2018-06-13,,,,,,,,,,,,,,,60183060.0,
2018-06-14,,,,,,,,,,,,,,,60183060.0,
2018-06-15,,,,,,,,,,,,,,,60183060.0,
2018-06-16,,,,,,,,,,,,,,,60183060.0,
2018-06-17,,,,,,,,,,,,,,,60183060.0,
2018-06-18,,,,,,,,,,,,,,,60183060.0,
2018-06-19,,,,,,,,,,,,,,,60183060.0,
2018-06-20,,,,,,,,,,,,,,,60183060.0,
2018-06-21,,,,,,,,,,,,,,,60183060.0,
2018-06-22,,,,,,,,,,,,,,,60183060.0,
2018-06-23,,,,,,,,,,,,,,,60183060.0,
2018-06-24,,,,,,,,,,,,,,,60183060.0,
2018-06-25,,,,,,,,,,,,,,,60183060.0,
2018-06-26,,,,,,,,,,,,,,,60183060.0,
2018-06-27,,,,,,,,,,,,,,,60183060.0,
2018-06-28,,,,,,,,,,,,,,,60183060.0,
2018-06-29,,,,,,,,,,,,,,,60183060.0,
2018-06-30,,,,,,,,,,,,,,,60183060.0,
2018-07-01,,,,,,,,,,,,,,,60183060.0,
2018-07-02,,,,,,,,,,,,,,,60183060.0,
2018-07-03,,,,,,,,,,,,,,,60183060.0,
2018-07-04,,,,,,,,,,,,,,,60183060.0,
2018-07-05,,,,,,,,,,,,,,,60183060.0,
2018-07-06,,,,,,,,,,,,,,,60183060.0,
2018-07-07,,,,,,,,,,,,,,,60183060.0,
2018-07-08,,,,,,,,,,,,,,,60183060.0,
2018-07-09,,,,,,,,,,,,,,,60183060.0,
2018-07-10,,,,,,,,,,,,,,,60183060.0,
2018-07-11,,,,,,,,,,,,,,,60183060.0,
2018-07-12,,,,,,,,,,,,,,,60183060.0,
2018-07-13,,,,,,,,,,,,,,,60183060.0,
2018-07-14,,,,,,,,,,,,,,,60183060.0,
2018-07-15,,,,,,,,,,,,,,,60183060.0,
2018-07-16,,,,,,,,,,,,,,,60183060.0,
2018-07-17,,,,,,,,,,,,,,,60183060.0,
2018-07-18,,,,,,,,,,,,,,,60183060.0,
2018-07-19,,,,,,,,,,,,,,,60183060.0,
2018-07-20,,,,,,,,,,,,,,,60183060.0,
2018-07-21,,,,,,,,,,,,,,,60183060.0,
2018-07-22,,,,,,,,,,,,,,,60183060.0,
2018-07-23,,,,,,,,,,,,,,,60183060.0,
2018-07-24,,,,,,,,,,,,,,,60183060.0,
2018-07-25,,,,,,,,,,,,,,,60183060.0,
2018-07-26,,,,,,,,,,,,,,,60183060.0,
2018-07-27,,,,,,,,,,,,,,,60183060.0,
2018-07-28,,,,,,,,,,,,,,,60183060.0,
2018-07-29,,,,,,,,,,,,,,,30146348.0,
2018-07-30,,,,,,,,,,,,,,,30146348.0,
2018-07-31,,,,,,,,,,,,,,,15127992.0,
2018-08-01,,,,,,,,,,,,,,,15127992.0,
2018-08-02,,,,,,,,,,,,,,,15127992.0,
2018-08-03,,,,,,,,,,,,,,,15127992.0,
2018-08-04,,,,,,,,,,,,,,,15127992.0,
2018-08-05,,,,,,,,,,,,,,,15127992.0,
2018-08-06,,,,,,,,,,,,,,,15127992.0,
2018-08-07,,,,,,,,,,,,,,,15127992.0,
2018-08-08,,,,,,,,,,,,,,,15127992.0,
2018-08-09,,,,,,,,,,,,,,,15127992.0,
2018-08-10,,,,,,,,,,,,,,,15127992.0,
2018-08-11,,,,,,,,,,,,,,,15127992.0,
2018-08-12,,,,,,,,,,,,,,,15127992.0,
2018-08-13,,,,,,,,,,,,,,,15127992.0,
2018-08-14,,,,,,,,,,,,,,,15127992.0,
2018-08-15,,,,,,,,,,,,,,,15127992.0,
2018-08-16,,,,,,,,,,,,,,,15127992.0,
2018-08-17,,,,,,,,,,,,,,,15127992.0,
2018-08-18,,,,,,,,,,,,,,,15127992.0,
2018-08-19,,,,,,,,,,,,,,,15127992.0,
2018-08-20,,,,,,,,,,,,,,,15127992.0,
2018-08-21,,,,,,,,,,,,,,,15127992.0,
2018-08-22,,,,,,,,,,,,,,,15127992.0,
2018-08-23,,,,,,,,,,,,,,,15127992.0,
2018-08-24,,,,,,,,,,,,,,,15127992.0,
2018-08-25,,,,,,,,,,,,,,,15127992.0,
2018-08-26,,,,,,,,,,,,,,,15127992.0,
2018-08-27,,,,,,,,,,,,,,,15127992.0,
2018-08-28,,,,,,,,,,,,,,,15127992.0,
2018-08-29,,,,,,,,,,,,,,,15127992.0,
2018-08-30,,,,,,,,,,,,,,,15127992.0,
2018-08-31,,,,,,,,,,,,,,,15127992.0,
2018-09-01,,,,,,,,,,,,,,,15127992.0,
2018-09-02,,,,,,,,,,,,,,,15127992.0,
2018-09-03,,,,,,,,,,,,,,,15127992.0,
2018-09-04,,,,,,,,,,,,,,,15127992.0,
2018-09-05,,,,,,,,,,,,,,,15127992.0,
2018-09-06,,,,,,,,,,,,,,,25140229.0,
2018-09-07,,,,,,,,,,,,,,,25140229.0,
2018-09-08,,,,,,,,,,,,,,,25140229.0,
2018-09-09,,,,,,,,,,,,,,,25140229.0,
2018-09-10,,,,,,,,,,,,,,,25140229.0,
2018-09-11,,,,,,,,,,,,,,,25140712.0,
2018-09-12,,,,,,,,,,,,,,,25392059.0,
2018-09-13,,,,,,,,,,,,,,,25391909.0,
2018-09-14,,,,,,,,,,,,,,,25392288.0,
2018-09-15,,,,,,,,,,,,,,,25392288.0,
2018-09-16,,,,,,,,,,,,,,,25392288.0,
2018-09-17,,,,,,,,,,,,,,,25392288.0,
2018-09-18,,,,,,,,,,,,,,,25392985.0,
2018-09-19,,,,,,,,,,,,,,,26695998.0,
2018-09-20,,,,,,,,,,,,,,,26696474.0,
2018-09-21,,,,,,,,,,,,,,,33244652.0,
2018-09-22,,,,,,,,,,,,,,,36823225.0,
2018-09-23,,,,,,,,,,,,,,,37324489.0,
2018-09-24,,,,,,,,,,,,,,,37324489.0,
2018-09-25,,,,,,,,,,,,,,,38337242.0,
2018-09-26,,,,,,,,,,,,,,,38337244.0,
2018-09-27,,,,,,,,,,,,,,,40453807.0,
2018-09-28,,,,,,,,,,,,,,,42437155.0,
2018-09-29,,,,,,,,,,,,,,,43376361.0,
2018-09-30,,,,,,,,,,,,,,,43376612.0,
2018-10-01,,,,,,,,,,,,,,,43376903.0,
2018-10-02,,,,,,,,,,,,,,,45388458.0,
2018-10-03,,,,,,,,,,,,,,,45388413.0,
2018-10-04,,,,,,,,,,,,,,,56823466.0,
2018-10-05,,,,,,,,,,,,,,,57993365.0,
2018-10-06,,,,,,,,,,,,,,,61183499.0,
2018-10-07,,,,,,,,,,,,,,,61183499.0,
2018-10-08,,,,,,,,,,,,,,,61183499.0,
2018-10-09,,,,,,,,,,,,,,,60182585.0,
2018-10-10,,,,,,,,,,,,,,,61552634.0,
2018-10-11,,,,,,,,,,,,,,,61360426.0,
2018-10-12,,,,,,,,,,,,,,,61746551.0,
2018-10-13,,,,,,,,,,,,,,,69255061.0,
2018-10-14,,,,,,,,,,,,,,,71929080.0,
2018-10-15,,,,,,,,,,,,,,,71929080.0,
2018-10-16,,,,,,,,,,,,,,,95242214.0,
2018-10-17,,,,,,,,,,,,,,,109711981.0,
2018-10-18,,,,,,,,,,,,,,,122669962.0,
2018-10-19,,,,,,,,,,,,,,,122417342.0,
2018-10-20,,,,,,,,,,,,,,,135981661.0,
2018-10-21,,,,,,,,,,,,,,,141215783.0,
2018-10-22,,,,,,,,,,,,,,,141215783.0,
2018-10-23,,,,,,,,,,,,,,,151222891.0,
2018-10-24,,,,,,,,,,,,,,,217243483.0,
2018-10-25,,,,,,,,,,,,,,,257103694.0,
2018-10-26,,,,,,,,,,,,,,,256515556.0,
2018-10-27,,,,,,,,,,,,,,,268778018.0,
2018-10-28,,,,,,,,,,,,,,,268894610.0,
2018-10-29,,,,,,,,,,,,,,,268869717.0,
2018-10-30,,,,,,,,,,,,,,,267841333.0,
2018-10-31,,,,,,,,,,,,,,,275451031.0,
2018-11-01,,,,,,,,,,,,,,,272496133.0,
2018-11-02,,,,,,,,,,,,,,,269210270.0,
2018-11-03,,,,,,,,,,,,,,,292132330.0,
2018-11-04,,,,,,,,,,,,,,,294058746.0,
2018-11-05,,,,,,,,,,,,,,,294033663.0,
2018-11-06,,,,,,,,,,,,,,,298266865.0,
2018-11-07,,,,,,,,,,,,,,,297779746.0,
2018-11-08,,,,,,,,,,,,,,,297547742.0,
2018-11-09,,,,,,,,,,,,,,,298054794.0,
2018-11-10,,,,,,,,,,,,,,,296708736.0,
2018-11-11,,,,,,,,,,,,,,,296708736.0,
2018-11-12,,,,,,,,,,,,,,,296021542.0,
2018-11-13,,,,,,,,,,,,,,,292118872.0,
2018-11-14,,,,,,,,,,,,,,,297041913.0,
2018-11-15,,,,,,,,,,,,,,,298967249.0,
2018-11-16,,,,,,,,,,,,,,,299882149.0,
2018-11-17,,,,,,,,,,,,,,,302927985.0,
2018-11-18,,,,,,,,,,,,,,,303953269.0,
2018-11-19,,,,,,,,,,,,,,,304152930.0,
2018-11-20,,,,,,,,,,,,,,,305428397.0,
2018-11-21,,,,,,,,,,,,,,,319244243.0,
2018-11-22,,,,,,,,,,,,,,,326123561.0,
2018-11-23,,,,,,,,,,,,,,,328024067.0,
2018-11-24,,,,,,,,,,,,,,,333262460.0,
2018-11-25,,,,,,,,,,,,,,,332267337.0,
2018-11-26,,,,,,,,,,,,,,,332211506.0,
2018-11-27,,,,,,,,,,,,,,,328550723.0,
2018-11-28,,,,,,,,,,,,,,,330659500.0,
2018-11-29,,,,,,,,,,,,,,,334987955.0,
2018-11-30,,,,,,,,,,,,,,,345832864.0,
2018-12-01,,,,,,,,,,,,,,,367519554.0,
2018-12-02,,,,,,,,,,,,,,,369084000.0,
2018-12-03,,,,,,,,,,,,,,,369085003.0,
2018-12-04,,,,,,,,,,,,,,,387312583.0,
2018-12-05,,,,,,,,,,,,,,,378001146.0,
2018-12-06,,,,,,,,,,,,,,,366256061.0,
2018-12-07,,,,,,,,,,,,,,,374919630.0,
2018-12-08,,,,,,,,,,,,,,,381748882.0,
2018-12-09,,,,,,,,,,,,,,,385657551.0,
2018-12-10,,,,,,,,,,,,,,,385820137.0,
2018-12-11,,,,,,,,,,,,,,,387395091.0,
2018-12-12,,,,,,,,,,,,,,,380981952.0,
2018-12-13,,,,,,,,,,,,,,,376954688.0,
2018-12-14,,,,,,,,,,,,,,,374938971.0,
2018-12-15,,,,,,,,,,,,,,,381787156.0,
2018-12-16,,,,,,,,,,,,,,,382039817.0,
2018-12-17,,,,,,,,,,,,,,,382024207.0,
2018-12-18,,,,,,,,,,,,,,,389327690.0,
2018-12-19,,,,,,,,,,,,,,,389560576.0,
2018-12-20,,,,,,,,,,,,,,,397844173.0,
2018-12-21,,,,,,,,,,,,,,,401433768.0,
2018-12-22,,,,,,,,,,,,,,,410390309.0,
2018-12-23,,,,,,,,,,,,,,,410363120.0,
2018-12-24,,,,,,,,,,,,,,,410339228.0,
2018-12-25,,,,,,,,,,,,,,,409321624.0,
2018-12-26,,,,,,,,,,,,,,,409367178.0,
2018-12-27,,,,,,,,,,,,,,,406994581.0,
2018-12-28,,,,,,,,,,,,,,,412902606.0,
2018-12-29,,,,,,,,,,,,,,,413094578.0,
2018-12-30,,,,,,,,,,,,,,,417643665.0,
2018-12-31,,,,,,,,,,,,,,,417700790.0,
2019-01-01,,,,,,,,,,,,,,,418703521.0,
2019-01-02,,,,,,,,,,,,,,,426564735.0,
2019-01-03,,,,,,,,,,,,,,,441434209.0,
2019-01-04,,,,,,,,,,,,,,,445431052.0,
2019-01-05,,,,,,,,,,,,,,,656909286.0,
2019-01-06,,,,,,,,,,,,,,,657861456.0,
2019-01-07,,,,,,,,,,,,,,,668087067.0,
2019-01-08,,,,,,,,,,,,,,,678079079.0,
2019-01-09,,,,,,,,,,,,,,,686145503.0,
2019-01-10,,,,,,,,,,,,,,,703514342.0,
2019-01-11,,,,,,,,,,,,,,,705507303.0,
2019-01-12,,,,,,,,,,,,,,,714602946.0,
2019-01-13,,,,,,,,,,,,,,,724437741.0,
2019-01-14,,,,,,,,,,,,,,,731674142.0,
2019-01-15,,,,,,,,,,,,,,,731738123.0,
2019-01-16,,,,,,,,,,,,,,,729362227.0,
2019-01-17,,,,,,,,,,,,,,,686093928.0,
2019-01-18,,,,,,,,,,,,,,,686127155.0,
2019-01-19,,,,,,,,,,,,,,,693185573.0,
2019-01-20,,,,,,,,,,,,,,,697968355.0,
2019-01-21,,,,,,,,,,,,,,,697915422.0,
2019-01-22,,,,,,,,,,,,,,,699320589.0,
2019-01-23,,,,,,,,,,,,,,,702324563.0,
2019-01-24,,,,,,,,,,,,,,,683428650.0,
2019-01-25,,,,,,,,,,,,,,,694331097.0,
2019-01-26,,,,,,,,,,,,,,,695918449.0,
2019-01-27,,,,,,,,,,,,,,,694057902.0,
2019-01-28,,,,,,,,,,,,,,,699972824.0,
2019-01-29,,,,,,,,,,,,,,,684559282.0,
2019-01-30,,,,,,,,,,,,,,,679941688.0,
2019-01-31,,,,,,,,,,,,,,,677980074.0,
2019-02-01,,,,,,,,,,,,,,,656437527.0,
2019-02-02,,,,,,,,,,,,,,,656405523.0,
2019-02-03,,,,,,,,,,,,,,,654566639.0,
2019-02-04,,,,,,,,,,,,,,,654848641.0,
2019-02-05,,,,,,,,,,,,,,,643315124.0,
2019-02-06,,,,,,,,,,,,,,,642871918.0,
2019-02-07,,,,,,,,,,,,,,,640843963.0,
2019-02-08,,,,,,,,,,,,,,,627132420.0,
2019-02-09,,,,,,,,,,,,,,,611597009.0,
2019-02-10,,,,,,,,,,,,,,,611475070.0,
2019-02-11,,,,,,,,,,,,,,,610173405.0,
2019-02-12,,,,,,,,,,,,,,,610558760.0,
2019-02-13,,,,,,,,,,,,,,,609291859.0,
2019-02-14,,,,,,,,,,,,,,,593576990.0,
2019-02-15,,,,,,,,,,,,,,,594209465.0,
2019-02-16,,,,,,,,,,,,,,,593853460.0,
2019-02-17,,,,,,,,,,,,,,,593390804.0,
2019-02-18,,,,,,,,,,,,,,,592819777.0,
2019-02-19,,,,,,,,,,,,,,,591365386.0,
2019-02-20,,,,,,,,,,,,,,,592981187.0,
2019-02-21,,,,,,,,,,,,,,,592856781.0,
2019-02-22,,,,,,,,,,,,,,,575529413.0,
2019-02-23,,,,,,,,,,,,,,,607983505.0,
2019-02-24,,,,,,,,,,,,,,,607429187.0,
2019-02-25,,,,,,,,,,,,,,,606147704.0,
2019-02-26,,,,,,,,,,,,,,,604917530.0,
2019-02-27,,,,,,,,,,,,,,,607194119.0,
2019-02-28,,,,,,,,,,,,,,,608018395.0,
2019-03-01,,,,,,,,,,,,,,,604631800.0,
2019-03-02,,,,,,,,,,,,,,,609457831.0,
2019-03-03,,,,,,,,,,,,,,,614875880.0,
2019-03-04,,,,,,,,,,,,,,,614066103.0,
2019-03-05,,,,,,,,,,,,,,,617503191.0,
2019-03-06,,,,,,,,,,,,,,,617183684.0,
2019-03-07,,,,,,,,,,,,,,,616311266.0,
2019-03-08,,,,,,,,,,,,,,,605705037.0,
2019-03-09,,,,,,,,,,,,,,,611676177.0,
2019-03-10,,,,,,,,,,,,,,,612117513.0,
2019-03-11,,,,,,,,,,,,,,,612152961.0,
2019-03-12,,,,,,,,,,,,,,,615786107.0,
2019-03-13,,,,,,,,,,,,,,,617293944.0,
2019-03-14,,,,,,,,,,,,,,,616581546.0,
2019-03-15,,,,,,,,,,,,,,,617405906.0,
2019-03-16,,,,,,,,,,,,,,,616504073.0,
2019-03-17,,,,,,,,,,,,,,,616440390.0,
2019-03-18,,,,,,,,,,,,,,,615168972.0,
2019-03-19,,,,,,,,,,,,,,,619934631.0,
2019-03-20,,,,,,,,,,,,,,,620783471.0,
2019-03-21,,,,,,,,,,,,,,,620504007.0,
2019-03-22,,,,,,,,,,,,,,,626348097.0,
2019-03-23,,,,,,,,,,,,,,,627092805.0,
2019-03-24,,,,,,,,,,,,,,,627265746.0,
2019-03-25,,,,,,,,,,,,,,,627372647.0,
2019-03-26,,,,,,,,,,,,,,,627569909.0,
2019-03-27,,,,,,,,,,,,,,,626551023.0,
2019-03-28,,,,,,,,,,,,,,,626906132.0,
2019-03-29,,,,,,,,,,,,,,,624022441.0,
2019-03-30,,,,,,,,,,,,,,,623555382.0,
2019-03-31,,,,,,,,,,,,,,,623329180.0,
2019-04-01,,,,,,,,,,,,,,,624879301.0,
2019-04-02,,,,,,,,,,,,,,,626365738.0,
2019-04-03,,,,,,,,,,,,,,,629623776.0,
2019-04-04,,,,,,,,,,,,,,,629220955.0,
2019-04-05,,,,,,,,,,,,,,,628933457.0,
